tiempo_s,unidad
0.10375,1.0
0.15945,0.0
0.1724,0.0
0.2833,1.0
0.3067,0.0
0.32655,0.0
0.36455,0.0
0.4554,0.0
0.4986,0.0
0.56185,0.0
0.5706,0.0
0.6311,1.0
0.65415,0.0
0.73065,1.0
0.74735,0.0
0.90445,2.0
1.1961,1.0
1.24185,0.0
1.26175,0.0
1.3043,0.0
1.33565,1.0
1.3563,1.0
1.4475,0.0
1.46485,0.0
1.47875,0.0
1.4938,1.0
1.4999,0.0
1.50935,0.0
1.55035,0.0
1.59495,0.0
1.6091,0.0
1.65005,0.0
1.65235,0.0
1.71015,0.0
1.78295,1.0
1.8698,0.0
1.97765,0.0
2.01265,
2.03215,0.0
2.08945,0.0
2.1274,2.0
2.2419,2.0
2.24865,0.0
2.29425,0.0
2.413,0.0
2.45545,2.0
2.4735,2.0
2.53755,0.0
2.5565,1.0
2.5639,0.0
2.6053,2.0
2.61655,0.0
2.70135,1.0
2.76245,0.0
2.7676,0.0
2.8498,0.0
2.9283,0.0
2.97005,0.0
2.98775,0.0
3.0121,2.0
3.0613,2.0
3.11475,0.0
3.13075,0.0
3.15185,0.0
3.17775,0.0
3.23115,0.0
3.27715,1.0
3.33635,0.0
3.41565,0.0
3.42955,0.0
3.4686,1.0
3.4907,0.0
3.72645,0.0
3.7365,1.0
3.76105,0.0
3.8222,0.0
3.8528,0.0
3.90725,0.0
3.92395,1.0
3.93665,0.0
3.96175,1.0
4.02335,0.0
4.06435,0.0
4.07055,0.0
4.08455,0.0
4.1348,0.0
4.16615,0.0
4.20235,0.0
4.20845,2.0
4.24105,1.0
4.271,0.0
4.30065,0.0
4.32655,1.0
4.33135,0.0
4.3338,0.0
4.33855,1.0
4.376,0.0
4.38405,0.0
4.39555,0.0
4.4204,0.0
4.5773,0.0
4.67725,0.0
4.8266,0.0
4.8298,0.0
4.9075,0.0
4.9347,0.0
4.96685,2.0
5.02295,0.0
5.0314,0.0
5.039,0.0
5.0577,0.0
5.2431,2.0
5.2622,1.0
5.2982,0.0
5.35885,0.0
5.47905,0.0
5.5096,1.0
5.61095,0.0
5.6404,2.0
5.68235,0.0
5.93975,1.0
6.03445,2.0
6.1731,1.0
6.17965,0.0
6.2286,0.0
6.24905,0.0
6.26695,0.0
6.31445,0.0
6.3403,0.0
6.3795,1.0
6.4071,0.0
6.45235,0.0
6.48785,0.0
6.53315,0.0
6.58165,1.0
6.5905,0.0
6.63185,0.0
6.69455,0.0
6.78505,0.0
6.8907,0.0
6.9374,0.0
6.99585,0.0
7.0015,0.0
7.004,2.0
7.00755,2.0
7.01035,2.0
7.102,0.0
7.2161,1.0
7.2785,1.0
7.3421,0.0
7.36785,2.0
7.4368,2.0
7.45275,0.0
7.52955,1.0
7.578,0.0
7.60745,1.0
7.70745,0.0
7.72925,1.0
7.81675,0.0
7.8431,0.0
7.8601,0.0
7.89965,2.0
8.0108,0.0
8.0504,1.0
8.2903,0.0
8.31015,0.0
8.4404,0.0
8.45075,0.0
8.5118,1.0
8.5663,0.0
8.6717,1.0
8.6766,0.0
8.7296,0.0
8.75555,0.0
8.84215,1.0
8.96405,2.0
9.09105,0.0
9.1176,0.0
9.16565,0.0
9.2261,0.0
9.25305,0.0
9.30125,0.0
9.3165,0.0
9.3308,0.0
9.3674,0.0
9.43225,0.0
9.4394,0.0
9.4986,1.0
9.51975,1.0
9.5364,1.0
9.5451,0.0
9.6575,0.0
9.6612,0.0
9.74875,0.0
9.7576,2.0
9.79465,1.0
9.8009,0.0
9.84085,0.0
9.88995,0.0
9.9842,1.0
10.0053,0.0
10.0968,1.0
10.10575,0.0
10.14365,0.0
10.1466,1.0
10.17735,0.0
10.2348,0.0
10.2737,0.0
10.3092,0.0
10.37555,1.0
10.7974,0.0
10.82755,1.0
10.8969,0.0
10.9109,0.0
10.95865,0.0
10.9645,1.0
10.98265,0.0
11.19625,0.0
11.2139,0.0
11.307,1.0
11.32265,0.0
11.3412,1.0
11.36145,0.0
11.37885,0.0
11.41665,0.0
11.47035,0.0
11.5571,0.0
11.57285,0.0
11.59065,1.0
11.61115,1.0
11.65405,2.0
11.6755,0.0
11.8434,0.0
11.8663,1.0
11.8841,1.0
11.89485,0.0
11.99095,1.0
12.0297,0.0
12.03315,2.0
12.0395,1.0
12.17415,0.0
12.22535,0.0
12.23705,1.0
12.25815,1.0
12.26145,0.0
12.27445,0.0
12.28925,0.0
12.37755,0.0
12.41925,1.0
12.50015,1.0
12.55605,0.0
12.5622,0.0
12.6289,0.0
12.63805,0.0
12.77665,0.0
12.9561,0.0
13.02755,0.0
13.0506,0.0
13.0651,0.0
13.0774,1.0
13.08355,1.0
13.1444,0.0
13.1648,2.0
13.2457,1.0
13.43575,1.0
13.4494,1.0
13.4517,1.0
13.4539,0.0
13.48665,0.0
13.49565,0.0
13.5759,2.0
13.6616,0.0
13.67845,
13.73185,2.0
13.81755,2.0
13.84425,0.0
13.8654,0.0
13.94085,1.0
14.00155,0.0
14.01295,1.0
14.07615,1.0
14.14125,0.0
14.15105,0.0
14.19745,0.0
14.36595,0.0
14.40875,2.0
14.45545,0.0
14.4579,0.0
14.5916,1.0
14.63175,1.0
14.65955,0.0
14.67675,0.0
14.68655,0.0
14.7064,1.0
14.7832,1.0
14.83115,1.0
14.87275,1.0
14.9166,0.0
14.9552,0.0
15.102,0.0
15.1304,0.0
15.1561,1.0
15.1707,1.0
15.2881,0.0
15.29795,1.0
15.3159,2.0
15.52795,1.0
15.53855,2.0
15.5755,0.0
15.71515,0.0
15.82175,1.0
15.85815,0.0
15.8863,0.0
16.01645,0.0
16.06955,0.0
16.0941,1.0
16.1104,0.0
16.18085,0.0
16.20965,0.0
16.2204,1.0
16.28985,1.0
16.3141,1.0
16.32805,1.0
16.36025,2.0
16.3992,1.0
16.42115,0.0
16.44875,0.0
16.46285,2.0
16.57985,0.0
16.692,0.0
16.6964,0.0
16.7889,1.0
16.80965,0.0
16.8275,0.0
16.85615,1.0
16.9021,1.0
16.94225,0.0
16.95825,0.0
17.02115,1.0
17.0413,1.0
17.07605,0.0
17.0835,0.0
17.3104,0.0
17.3951,0.0
17.5688,0.0
17.6193,0.0
17.64585,0.0
17.66535,1.0
17.6991,0.0
17.83415,1.0
17.83645,0.0
17.87215,0.0
17.87815,0.0
17.9323,1.0
17.9608,0.0
18.03585,0.0
18.0425,0.0
18.2568,1.0
18.2868,1.0
18.3005,0.0
18.4852,0.0
18.57925,1.0
18.6321,0.0
18.6372,0.0
18.69165,0.0
18.7525,1.0
18.8297,0.0
18.85995,0.0
18.8742,0.0
18.9144,1.0
18.9211,1.0
18.9839,0.0
18.9942,0.0
19.00215,0.0
19.07155,0.0
19.1275,0.0
19.1525,1.0
19.17555,2.0
19.26745,1.0
19.29185,1.0
19.30315,1.0
19.32185,1.0
19.33695,0.0
19.40215,0.0
19.5143,1.0
19.61915,0.0
19.68955,0.0
19.70995,0.0
19.72025,0.0
19.92385,1.0
19.9442,2.0
20.0446,0.0
20.0943,2.0
20.10445,0.0
20.1899,0.0
20.21475,1.0
20.24605,0.0
20.2972,1.0
20.3301,0.0
20.38055,0.0
20.3861,0.0
20.50235,0.0
20.5494,1.0
20.58675,0.0
20.6006,1.0
20.6306,1.0
20.6798,0.0
20.76195,1.0
20.82665,0.0
20.88615,0.0
20.91105,0.0
21.032,0.0
21.04615,0.0
21.0555,0.0
21.14615,1.0
21.15525,0.0
21.19875,0.0
21.212,1.0
21.23935,1.0
21.27445,0.0
21.3081,0.0
21.42595,0.0
21.4577,1.0
21.4598,1.0
21.5889,1.0
21.6147,0.0
21.80705,0.0
21.8193,1.0
21.87015,0.0
21.89525,0.0
21.907,1.0
21.91055,1.0
21.97825,0.0
21.98095,1.0
22.1695,0.0
22.1717,0.0
22.1886,1.0
22.2307,0.0
22.25375,0.0
22.29845,1.0
22.31955,0.0
22.3342,1.0
22.49855,0.0
22.5423,1.0
22.64545,0.0
22.6918,0.0
22.7081,1.0
22.74405,0.0
22.8446,0.0
22.92115,0.0
22.976,1.0
23.19515,2.0
23.35195,0.0
23.3635,0.0
23.3655,0.0
23.4513,2.0
23.4807,0.0
23.7909,1.0
23.80415,1.0
23.81785,0.0
23.86535,0.0
23.8839,0.0
23.88985,0.0
24.0259,0.0
24.12045,0.0
24.14745,0.0
24.19655,0.0
24.20475,0.0
24.21465,0.0
24.32115,0.0
24.33175,1.0
24.38465,0.0
24.51705,0.0
24.5235,2.0
24.58455,0.0
24.58715,0.0
24.6326,0.0
24.6573,0.0
24.68935,1.0
24.69145,0.0
24.7687,1.0
24.8417,0.0
24.86465,0.0
24.91545,0.0
24.92495,0.0
24.9747,2.0
25.05025,1.0
25.07165,2.0
25.1235,0.0
25.20765,0.0
25.31315,2.0
25.35905,1.0
25.424,1.0
25.4904,0.0
25.5154,0.0
25.59445,0.0
25.7525,0.0
25.82185,1.0
25.8789,0.0
25.8964,0.0
25.9054,0.0
26.01735,0.0
26.13645,0.0
26.148,0.0
26.17705,2.0
26.313,0.0
26.3606,0.0
26.56765,0.0
26.60235,2.0
26.71415,2.0
26.721,1.0
26.86615,0.0
26.9014,0.0
27.0164,1.0
27.0541,0.0
27.13325,0.0
27.21965,0.0
27.2653,0.0
27.2785,0.0
27.3354,1.0
27.46815,0.0
27.4848,1.0
27.48845,0.0
27.50465,1.0
27.55695,2.0
27.60725,0.0
27.65075,0.0
27.66035,0.0
27.8338,0.0
27.86655,0.0
27.87735,0.0
27.8863,0.0
27.89615,0.0
27.9936,0.0
28.0232,1.0
28.04885,1.0
28.06265,1.0
28.1305,0.0
28.20325,0.0
28.21415,2.0
28.23815,0.0
28.28615,1.0
28.37575,0.0
28.3973,1.0
28.43225,0.0
28.4638,0.0
28.5297,1.0
28.5769,1.0
28.6621,0.0
28.69815,1.0
28.7169,0.0
28.7314,0.0
28.8709,1.0
28.93685,0.0
29.1311,0.0
29.1481,0.0
29.22525,0.0
29.26255,1.0
29.3227,2.0
29.32775,0.0
29.36415,0.0
29.42175,0.0
29.51365,0.0
29.51715,2.0
29.5692,0.0
29.6027,0.0
29.6553,2.0
29.65745,0.0
29.7011,1.0
29.72235,0.0
29.73375,0.0
29.92415,0.0
29.9267,0.0
29.9683,2.0
29.9955,0.0
30.0005,0.0
30.0627,0.0
30.06985,0.0
30.1048,0.0
30.127,0.0
30.14475,0.0
30.1718,0.0
30.2017,0.0
30.207,1.0
30.39005,0.0
30.39705,1.0
30.52335,0.0
30.57705,1.0
30.58875,1.0
30.59365,0.0
30.66875,1.0
30.76445,0.0
30.8206,0.0
30.82375,0.0
30.8384,0.0
30.93455,0.0
31.0018,0.0
31.02705,1.0
31.0364,1.0
31.07235,0.0
31.10715,1.0
31.1228,0.0
31.1259,0.0
31.15265,0.0
31.15485,1.0
31.1643,1.0
31.16655,0.0
31.17895,1.0
31.192,0.0
31.2322,0.0
31.23945,1.0
31.2438,1.0
31.2477,0.0
31.2634,0.0
31.2764,0.0
31.2911,0.0
31.30085,0.0
31.30415,0.0
31.31115,1.0
31.31595,0.0
31.31975,1.0
31.3264,1.0
31.33,1.0
31.34115,0.0
31.35205,0.0
31.3553,1.0
31.35865,0.0
31.36405,0.0
31.3702,1.0
31.38085,1.0
31.409,0.0
31.41465,0.0
31.41935,1.0
31.436,0.0
31.44035,1.0
31.48305,1.0
31.4928,1.0
31.49935,1.0
31.5887,0.0
31.638,0.0
31.65865,0.0
31.66655,0.0
31.7601,0.0
31.77895,0.0
31.82705,0.0
31.8731,0.0
31.98475,0.0
32.09795,0.0
32.1283,0.0
32.2013,1.0
32.2465,0.0
32.256,2.0
32.28715,0.0
32.4114,0.0
32.42205,0.0
32.4534,2.0
32.4592,0.0
